SeniorCitizenRelevel,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,MonthlyCharges,Churn,AdditionalInternetServicesCount,StreamingServicesCount,MC_x_Additional,MC_x_Streaming,PaymentMethod_bin_3
No,No,No,2,DSL,Month-to-month,Yes,53.85,Yes,2,0,107.7,0.0,Mailed check
No,No,No,2,Fiber optic,Month-to-month,Yes,70.7,Yes,0,0,0.0,0.0,Electronic check
No,No,No,8,Fiber optic,Month-to-month,Yes,99.65,Yes,1,2,99.65,199.3,Electronic check
No,Yes,No,28,Fiber optic,Month-to-month,Yes,104.8,Yes,2,2,209.6,209.6,Electronic check
No,No,No,49,Fiber optic,Month-to-month,Yes,103.7,Yes,2,2,207.4,207.4,Automatic
No,Yes,Yes,10,DSL,Month-to-month,No,55.2,Yes,2,0,110.4,0.0,Automatic
Yes,No,No,1,DSL,Month-to-month,Yes,39.65,Yes,1,1,39.65,39.65,Electronic check
No,No,No,1,No,Month-to-month,No,20.15,Yes,0,0,0.0,0.0,Mailed check
No,Yes,Yes,47,Fiber optic,Month-to-month,Yes,99.35,Yes,1,2,99.35,198.7,Electronic check
No,Yes,Yes,1,DSL,Month-to-month,No,30.2,Yes,1,0,30.2,0.0,Electronic check
No,No,Yes,17,DSL,Month-to-month,Yes,64.7,Yes,0,2,0.0,129.4,Mailed check
No,No,No,5,Fiber optic,Month-to-month,Yes,69.7,Yes,0,0,0.0,0.0,Electronic check
No,No,No,34,Fiber optic,Month-to-month,Yes,106.35,Yes,2,2,212.7,212.7,Electronic check
No,No,No,11,Fiber optic,Month-to-month,Yes,97.85,Yes,1,2,97.85,195.7,Automatic
No,No,No,2,Fiber optic,Month-to-month,Yes,80.65,Yes,0,1,0.0,80.65,Electronic check
No,No,No,15,Fiber optic,Month-to-month,Yes,99.1,Yes,2,2,198.2,198.2,Automatic
Yes,Yes,No,8,Fiber optic,Month-to-month,Yes,80.65,Yes,1,0,80.65,0.0,Automatic
Yes,No,No,18,Fiber optic,Month-to-month,Yes,95.45,Yes,0,2,0.0,190.9,Electronic check
No,No,No,9,Fiber optic,Month-to-month,No,94.4,Yes,0,2,0.0,188.8,Electronic check
No,No,Yes,1,Fiber optic,Month-to-month,Yes,79.35,Yes,0,1,0.0,79.35,Electronic check
No,Yes,No,7,Fiber optic,Month-to-month,Yes,75.15,Yes,1,0,75.15,0.0,Automatic
No,No,No,12,Fiber optic,Month-to-month,Yes,78.95,Yes,1,0,78.95,0.0,Electronic check
No,No,No,5,No,Month-to-month,No,21.05,Yes,0,0,0.0,0.0,Mailed check
Yes,Yes,No,25,Fiber optic,Month-to-month,Yes,98.5,Yes,2,2,197.0,197.0,Electronic check
No,Yes,No,68,Fiber optic,Two year,Yes,110.0,Yes,3,2,330.0,220.0,Automatic
No,Yes,No,55,Fiber optic,Month-to-month,Yes,96.75,Yes,2,1,193.5,96.75,Electronic check
Yes,Yes,No,37,Fiber optic,Month-to-month,Yes,76.5,Yes,0,0,0.0,0.0,Electronic check
No,Yes,Yes,10,Fiber optic,Month-to-month,Yes,100.25,Yes,1,2,100.25,200.5,Electronic check
No,No,No,3,Fiber optic,Month-to-month,Yes,74.4,Yes,0,0,0.0,0.0,Electronic check
Yes,No,No,27,Fiber optic,Month-to-month,Yes,78.05,Yes,1,0,78.05,0.0,Electronic check
No,Yes,Yes,25,DSL,Month-to-month,Yes,58.6,Yes,3,2,175.8,117.2,Automatic
No,No,No,1,DSL,Month-to-month,Yes,35.45,Yes,0,1,0.0,35.45,Electronic check
No,No,No,2,DSL,Month-to-month,No,44.35,Yes,0,0,0.0,0.0,Electronic check
Yes,Yes,No,1,Fiber optic,Month-to-month,Yes,70.45,Yes,0,0,0.0,0.0,Mailed check
No,No,No,8,DSL,Month-to-month,No,71.15,Yes,2,1,142.3,71.15,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,45.65,Yes,0,0,0.0,0.0,Electronic check
No,No,No,7,Fiber optic,Month-to-month,No,95.0,Yes,0,2,0.0,190.0,Mailed check
No,Yes,No,20,Fiber optic,Month-to-month,No,82.4,Yes,1,0,82.4,0.0,Electronic check
No,No,No,4,Fiber optic,Month-to-month,Yes,70.9,Yes,0,0,0.0,0.0,Automatic
Yes,Yes,No,58,DSL,Month-to-month,Yes,45.3,Yes,2,1,90.6,45.3,Electronic check
No,Yes,No,2,Fiber optic,Month-to-month,Yes,104.4,Yes,2,2,208.8,208.8,Electronic check
No,Yes,No,53,Fiber optic,One year,Yes,94.85,Yes,1,2,94.85,189.7,Automatic
Yes,No,No,15,Fiber optic,Month-to-month,Yes,74.45,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,7,Fiber optic,Month-to-month,No,76.45,Yes,1,0,76.45,0.0,Automatic
No,No,No,1,DSL,Month-to-month,No,29.95,Yes,1,0,29.95,0.0,Automatic
No,No,No,8,Fiber optic,Month-to-month,No,84.5,Yes,0,1,0.0,84.5,Automatic
No,No,No,13,Fiber optic,Month-to-month,Yes,79.25,Yes,2,0,158.5,0.0,Electronic check
No,Yes,No,1,DSL,Month-to-month,Yes,24.8,Yes,0,0,0.0,0.0,Electronic check
No,Yes,No,6,Fiber optic,Month-to-month,Yes,91.0,Yes,2,1,182.0,91.0,Electronic check
No,No,No,1,Fiber optic,Month-to-month,No,79.9,Yes,0,1,0.0,79.9,Electronic check
No,No,No,19,Fiber optic,Month-to-month,Yes,106.6,Yes,3,2,319.79999999999995,213.2,Electronic check
