SeniorCitizenRelevel,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,AdditionalInternetServicesCount,StreamingServicesCount,MC_x_Additional,MC_x_Streaming
No,No,No,2,DSL,Month-to-month,Yes,Mailed check,53.85,Yes,2,0,107.7,0.0
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,70.7,Yes,0,0,0.0,0.0
No,No,No,8,Fiber optic,Month-to-month,Yes,Electronic check,99.65,Yes,1,2,99.65,199.3
No,Yes,No,28,Fiber optic,Month-to-month,Yes,Electronic check,104.8,Yes,2,2,209.6,209.6
No,No,No,49,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.7,Yes,2,2,207.4,207.4
No,Yes,Yes,10,DSL,Month-to-month,No,Credit card (automatic),55.2,Yes,2,0,110.4,0.0
Yes,No,No,1,DSL,Month-to-month,Yes,Electronic check,39.65,Yes,1,1,39.65,39.65
No,No,No,1,No,Month-to-month,No,Mailed check,20.15,Yes,0,0,0.0,0.0
No,Yes,Yes,47,Fiber optic,Month-to-month,Yes,Electronic check,99.35,Yes,1,2,99.35,198.7
No,Yes,Yes,1,DSL,Month-to-month,No,Electronic check,30.2,Yes,1,0,30.2,0.0
No,No,Yes,17,DSL,Month-to-month,Yes,Mailed check,64.7,Yes,0,2,0.0,129.4
No,No,No,5,Fiber optic,Month-to-month,Yes,Electronic check,69.7,Yes,0,0,0.0,0.0
No,No,No,34,Fiber optic,Month-to-month,Yes,Electronic check,106.35,Yes,2,2,212.7,212.7
No,No,No,11,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),97.85,Yes,1,2,97.85,195.7
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,80.65,Yes,0,1,0.0,80.65
No,No,No,15,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.1,Yes,2,2,198.2,198.2
Yes,Yes,No,8,Fiber optic,Month-to-month,Yes,Credit card (automatic),80.65,Yes,1,0,80.65,0.0
Yes,No,No,18,Fiber optic,Month-to-month,Yes,Electronic check,95.45,Yes,0,2,0.0,190.9
No,No,No,9,Fiber optic,Month-to-month,No,Electronic check,94.4,Yes,0,2,0.0,188.8
No,No,Yes,1,Fiber optic,Month-to-month,Yes,Electronic check,79.35,Yes,0,1,0.0,79.35
No,Yes,No,7,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.15,Yes,1,0,75.15,0.0
No,No,No,12,Fiber optic,Month-to-month,Yes,Electronic check,78.95,Yes,1,0,78.95,0.0
No,No,No,5,No,Month-to-month,No,Mailed check,21.05,Yes,0,0,0.0,0.0
Yes,Yes,No,25,Fiber optic,Month-to-month,Yes,Electronic check,98.5,Yes,2,2,197.0,197.0
No,Yes,No,68,Fiber optic,Two year,Yes,Bank transfer (automatic),110.0,Yes,3,2,330.0,220.0
No,Yes,No,55,Fiber optic,Month-to-month,Yes,Electronic check,96.75,Yes,2,1,193.5,96.75
Yes,Yes,No,37,Fiber optic,Month-to-month,Yes,Electronic check,76.5,Yes,0,0,0.0,0.0
No,Yes,Yes,10,Fiber optic,Month-to-month,Yes,Electronic check,100.25,Yes,1,2,100.25,200.5
No,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,74.4,Yes,0,0,0.0,0.0
Yes,No,No,27,Fiber optic,Month-to-month,Yes,Electronic check,78.05,Yes,1,0,78.05,0.0
No,Yes,Yes,25,DSL,Month-to-month,Yes,Credit card (automatic),58.6,Yes,3,2,175.8,117.2
No,No,No,1,DSL,Month-to-month,Yes,Electronic check,35.45,Yes,0,1,0.0,35.45
No,No,No,2,DSL,Month-to-month,No,Electronic check,44.35,Yes,0,0,0.0,0.0
Yes,Yes,No,1,Fiber optic,Month-to-month,Yes,Mailed check,70.45,Yes,0,0,0.0,0.0
No,No,No,8,DSL,Month-to-month,No,Electronic check,71.15,Yes,2,1,142.3,71.15
No,No,No,1,DSL,Month-to-month,Yes,Electronic check,45.65,Yes,0,0,0.0,0.0
No,No,No,7,Fiber optic,Month-to-month,No,Mailed check,95.0,Yes,0,2,0.0,190.0
No,Yes,No,20,Fiber optic,Month-to-month,No,Electronic check,82.4,Yes,1,0,82.4,0.0
No,No,No,4,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),70.9,Yes,0,0,0.0,0.0
Yes,Yes,No,58,DSL,Month-to-month,Yes,Electronic check,45.3,Yes,2,1,90.6,45.3
No,Yes,No,2,Fiber optic,Month-to-month,Yes,Electronic check,104.4,Yes,2,2,208.8,208.8
No,Yes,No,53,Fiber optic,One year,Yes,Bank transfer (automatic),94.85,Yes,1,2,94.85,189.7
Yes,No,No,15,Fiber optic,Month-to-month,Yes,Mailed check,74.45,Yes,0,0,0.0,0.0
Yes,No,No,7,Fiber optic,Month-to-month,No,Bank transfer (automatic),76.45,Yes,1,0,76.45,0.0
No,No,No,1,DSL,Month-to-month,No,Bank transfer (automatic),29.95,Yes,1,0,29.95,0.0
No,No,No,8,Fiber optic,Month-to-month,No,Bank transfer (automatic),84.5,Yes,0,1,0.0,84.5
No,No,No,13,Fiber optic,Month-to-month,Yes,Electronic check,79.25,Yes,2,0,158.5,0.0
No,Yes,No,1,DSL,Month-to-month,Yes,Electronic check,24.8,Yes,0,0,0.0,0.0
No,Yes,No,6,Fiber optic,Month-to-month,Yes,Electronic check,91.0,Yes,2,1,182.0,91.0
No,No,No,1,Fiber optic,Month-to-month,No,Electronic check,79.9,Yes,0,1,0.0,79.9
No,No,No,19,Fiber optic,Month-to-month,Yes,Electronic check,106.6,Yes,3,2,319.79999999999995,213.2
No,No,No,2,DSL,Month-to-month,Yes,Credit card (automatic),46.0,Yes,0,0,0.0,0.0
No,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,70.15,Yes,0,0,0.0,0.0
No,Yes,No,4,DSL,Month-to-month,No,Mailed check,50.05,Yes,1,0,50.05,0.0
No,Yes,No,1,DSL,Month-to-month,No,Mailed check,55.2,Yes,0,1,0.0,55.2
No,No,No,1,Fiber optic,Month-to-month,Yes,Mailed check,84.6,Yes,1,1,84.6,84.6
No,No,No,2,DSL,Month-to-month,Yes,Mailed check,54.4,Yes,1,0,54.4,0.0
Yes,No,No,11,Fiber optic,Month-to-month,Yes,Electronic check,95.0,Yes,1,2,95.0,190.0
Yes,No,No,15,Fiber optic,Month-to-month,Yes,Electronic check,74.4,Yes,1,0,74.4,0.0
No,No,No,1,DSL,Month-to-month,Yes,Mailed check,48.55,Yes,1,0,48.55,0.0
No,Yes,Yes,2,Fiber optic,Month-to-month,No,Electronic check,70.4,Yes,0,0,0.0,0.0
Yes,Yes,No,1,DSL,Month-to-month,No,Electronic check,40.2,Yes,1,1,40.2,40.2
No,Yes,No,2,DSL,Month-to-month,Yes,Credit card (automatic),44.6,Yes,0,0,0.0,0.0
Yes,No,No,3,DSL,Month-to-month,Yes,Electronic check,41.15,Yes,1,1,41.15,41.15
Yes,No,No,13,Fiber optic,Month-to-month,Yes,Electronic check,106.9,Yes,2,2,213.8,213.8
No,No,No,59,No,Two year,No,Mailed check,19.35,Yes,0,0,0.0,0.0
Yes,No,No,16,Fiber optic,Month-to-month,Yes,Electronic check,94.45,Yes,1,2,94.45,188.9
No,No,No,1,DSL,Month-to-month,No,Bank transfer (automatic),24.8,Yes,0,0,0.0,0.0
No,No,No,1,Fiber optic,Month-to-month,No,Mailed check,70.6,Yes,0,0,0.0,0.0
No,Yes,No,5,Fiber optic,Month-to-month,Yes,Electronic check,85.4,Yes,2,0,170.8,0.0
No,Yes,No,52,Fiber optic,Month-to-month,Yes,Electronic check,105.05,Yes,2,2,210.1,210.1
No,Yes,Yes,18,Fiber optic,Month-to-month,No,Mailed check,95.15,Yes,1,2,95.15,190.3
No,Yes,No,1,Fiber optic,Month-to-month,No,Electronic check,70.0,Yes,0,0,0.0,0.0
Yes,No,No,8,Fiber optic,Month-to-month,Yes,Electronic check,74.5,Yes,1,0,74.5,0.0
No,No,No,10,DSL,Month-to-month,Yes,Credit card (automatic),44.85,Yes,0,0,0.0,0.0
Yes,No,No,24,Fiber optic,Month-to-month,Yes,Electronic check,76.1,Yes,0,0,0.0,0.0
No,No,Yes,1,Fiber optic,Month-to-month,Yes,Mailed check,73.6,Yes,1,0,73.6,0.0
Yes,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,95.45,Yes,0,2,0.0,190.9
Yes,Yes,No,32,Fiber optic,Month-to-month,Yes,Electronic check,74.9,Yes,0,0,0.0,0.0
No,No,No,5,Fiber optic,Month-to-month,Yes,Electronic check,80.6,Yes,0,1,0.0,80.6
No,Yes,Yes,38,DSL,One year,No,Credit card (automatic),80.3,Yes,3,2,240.89999999999998,160.6
Yes,Yes,No,24,Fiber optic,Month-to-month,Yes,Electronic check,93.15,Yes,1,2,93.15,186.3
Yes,No,No,54,DSL,One year,No,Bank transfer (automatic),82.45,Yes,3,2,247.35000000000002,164.9
Yes,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,70.35,Yes,0,0,0.0,0.0
No,No,No,7,Fiber optic,Month-to-month,Yes,Electronic check,73.85,Yes,0,0,0.0,0.0
No,No,No,2,Fiber optic,Month-to-month,No,Mailed check,80.6,Yes,1,0,80.6,0.0
No,Yes,Yes,68,DSL,One year,Yes,Bank transfer (automatic),75.8,Yes,3,1,227.39999999999998,75.8
No,No,No,43,Fiber optic,Two year,Yes,Electronic check,104.6,Yes,2,2,209.2,209.2
No,Yes,No,63,Fiber optic,Month-to-month,Yes,Electronic check,103.4,Yes,2,2,206.8,206.8
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,90.4,Yes,0,2,0.0,180.8
No,Yes,Yes,4,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),84.8,Yes,2,0,169.6,0.0
Yes,No,No,21,DSL,Month-to-month,Yes,Electronic check,41.9,Yes,1,1,41.9,41.9
No,No,No,10,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.25,Yes,0,1,0.0,80.25
Yes,Yes,No,27,DSL,Month-to-month,No,Credit card (automatic),30.75,Yes,1,0,30.75,0.0
No,No,No,5,Fiber optic,Month-to-month,No,Bank transfer (automatic),96.5,Yes,1,2,96.5,193.0
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,85.65,Yes,0,1,0.0,85.65
No,Yes,No,25,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),104.95,Yes,2,2,209.9,209.9
No,No,No,1,DSL,Month-to-month,No,Mailed check,50.65,Yes,1,0,50.65,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Credit card (automatic),90.85,Yes,1,1,90.85,90.85
Yes,Yes,No,11,No,Month-to-month,No,Mailed check,19.95,Yes,0,0,0.0,0.0
Yes,Yes,No,55,Fiber optic,Month-to-month,Yes,Electronic check,85.45,Yes,2,0,170.9,0.0
No,No,No,34,Fiber optic,Month-to-month,Yes,Credit card (automatic),73.95,Yes,1,0,73.95,0.0
No,Yes,Yes,69,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.45,Yes,1,2,99.45,198.9
No,No,No,1,No,Month-to-month,Yes,Mailed check,19.9,Yes,0,0,0.0,0.0
No,No,No,1,No,Month-to-month,Yes,Mailed check,19.6,Yes,0,0,0.0,0.0
Yes,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,81.35,Yes,1,0,81.35,0.0
No,Yes,Yes,22,Fiber optic,Month-to-month,No,Electronic check,83.3,Yes,1,1,83.3,83.3
Yes,No,No,1,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.3,Yes,1,0,75.3,0.0
