AdditionalInternetServicesCount,Churn,Contract,Dependents,InternetService,MC_x_Additional,MC_x_Streaming,MonthlyCharges,PaperlessBilling,Partner,PaymentMethod_bin_3,SeniorCitizenRelevel,StreamingServicesCount,tenure
2.0,Yes,Month-to-month,No,DSL,107.7,0.0,53.85,Yes,No,Mailed check,No,0.0,2
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,70.7,Yes,No,Electronic check,No,0.0,2
1.0,Yes,Month-to-month,No,Fiber optic,99.65,199.3,99.65,Yes,No,Electronic check,No,2.0,8
2.0,Yes,Month-to-month,No,Fiber optic,209.6,209.6,104.8,Yes,Yes,Electronic check,No,2.0,28
2.0,Yes,Month-to-month,No,Fiber optic,207.4,207.4,103.7,Yes,No,Automatic,No,2.0,49
2.0,Yes,Month-to-month,Yes,DSL,110.4,0.0,55.2,No,Yes,Automatic,No,0.0,10
1.0,Yes,Month-to-month,No,DSL,39.65,39.65,39.65,Yes,No,Electronic check,Yes,1.0,1
0.0,Yes,Month-to-month,No,No,0.0,0.0,20.15,No,No,Mailed check,No,0.0,1
1.0,Yes,Month-to-month,Yes,Fiber optic,99.35,198.7,99.35,Yes,Yes,Electronic check,No,2.0,47
1.0,Yes,Month-to-month,Yes,DSL,30.2,0.0,30.2,No,Yes,Electronic check,No,0.0,1
0.0,Yes,Month-to-month,Yes,DSL,0.0,129.4,64.7,Yes,No,Mailed check,No,2.0,17
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,69.7,Yes,No,Electronic check,No,0.0,5
2.0,Yes,Month-to-month,No,Fiber optic,212.7,212.7,106.35,Yes,No,Electronic check,No,2.0,34
1.0,Yes,Month-to-month,No,Fiber optic,97.85,195.7,97.85,Yes,No,Automatic,No,2.0,11
0.0,Yes,Month-to-month,No,Fiber optic,0.0,80.65,80.65,Yes,No,Electronic check,No,1.0,2
2.0,Yes,Month-to-month,No,Fiber optic,198.2,198.2,99.1,Yes,No,Automatic,No,2.0,15
1.0,Yes,Month-to-month,No,Fiber optic,80.65,0.0,80.65,Yes,Yes,Automatic,Yes,0.0,8
0.0,Yes,Month-to-month,No,Fiber optic,0.0,190.9,95.45,Yes,No,Electronic check,Yes,2.0,18
0.0,Yes,Month-to-month,No,Fiber optic,0.0,188.8,94.4,No,No,Electronic check,No,2.0,9
0.0,Yes,Month-to-month,Yes,Fiber optic,0.0,79.35,79.35,Yes,No,Electronic check,No,1.0,1
1.0,Yes,Month-to-month,No,Fiber optic,75.15,0.0,75.15,Yes,Yes,Automatic,No,0.0,7
1.0,Yes,Month-to-month,No,Fiber optic,78.95,0.0,78.95,Yes,No,Electronic check,No,0.0,12
0.0,Yes,Month-to-month,No,No,0.0,0.0,21.05,No,No,Mailed check,No,0.0,5
2.0,Yes,Month-to-month,No,Fiber optic,197.0,197.0,98.5,Yes,Yes,Electronic check,Yes,2.0,25
3.0,Yes,Two year,No,Fiber optic,330.0,220.0,110.0,Yes,Yes,Automatic,No,2.0,68
2.0,Yes,Month-to-month,No,Fiber optic,193.5,96.75,96.75,Yes,Yes,Electronic check,No,1.0,55
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,76.5,Yes,Yes,Electronic check,Yes,0.0,37
1.0,Yes,Month-to-month,Yes,Fiber optic,100.25,200.5,100.25,Yes,Yes,Electronic check,No,2.0,10
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,74.4,Yes,No,Electronic check,No,0.0,3
1.0,Yes,Month-to-month,No,Fiber optic,78.05,0.0,78.05,Yes,No,Electronic check,Yes,0.0,27
3.0,Yes,Month-to-month,Yes,DSL,175.8,117.2,58.6,Yes,Yes,Automatic,No,2.0,25
0.0,Yes,Month-to-month,No,DSL,0.0,35.45,35.45,Yes,No,Electronic check,No,1.0,1
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,44.35,No,No,Electronic check,No,0.0,2
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,70.45,Yes,Yes,Mailed check,Yes,0.0,1
2.0,Yes,Month-to-month,No,DSL,142.3,71.15,71.15,No,No,Electronic check,No,1.0,8
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,45.65,Yes,No,Electronic check,No,0.0,1
0.0,Yes,Month-to-month,No,Fiber optic,0.0,190.0,95.0,No,No,Mailed check,No,2.0,7
1.0,Yes,Month-to-month,No,Fiber optic,82.4,0.0,82.4,No,Yes,Electronic check,No,0.0,20
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,70.9,Yes,No,Automatic,No,0.0,4
2.0,Yes,Month-to-month,No,DSL,90.6,45.3,45.3,Yes,Yes,Electronic check,Yes,1.0,58
2.0,Yes,Month-to-month,No,Fiber optic,208.8,208.8,104.4,Yes,Yes,Electronic check,No,2.0,2
1.0,Yes,One year,No,Fiber optic,94.85,189.7,94.85,Yes,Yes,Automatic,No,2.0,53
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,74.45,Yes,No,Mailed check,Yes,0.0,15
1.0,Yes,Month-to-month,No,Fiber optic,76.45,0.0,76.45,No,No,Automatic,Yes,0.0,7
1.0,Yes,Month-to-month,No,DSL,29.95,0.0,29.95,No,No,Automatic,No,0.0,1
0.0,Yes,Month-to-month,No,Fiber optic,0.0,84.5,84.5,No,No,Automatic,No,1.0,8
2.0,Yes,Month-to-month,No,Fiber optic,158.5,0.0,79.25,Yes,No,Electronic check,No,0.0,13
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,24.8,Yes,Yes,Electronic check,No,0.0,1
2.0,Yes,Month-to-month,No,Fiber optic,182.0,91.0,91.0,Yes,Yes,Electronic check,No,1.0,6
0.0,Yes,Month-to-month,No,Fiber optic,0.0,79.9,79.9,No,No,Electronic check,No,1.0,1
3.0,Yes,Month-to-month,No,Fiber optic,319.79999999999995,213.2,106.6,Yes,No,Electronic check,No,2.0,19
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,46.0,Yes,No,Automatic,No,0.0,2
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,70.15,Yes,No,Electronic check,No,0.0,4
1.0,Yes,Month-to-month,No,DSL,50.05,0.0,50.05,No,Yes,Mailed check,No,0.0,4
0.0,Yes,Month-to-month,No,DSL,0.0,55.2,55.2,No,Yes,Mailed check,No,1.0,1
1.0,Yes,Month-to-month,No,Fiber optic,84.6,84.6,84.6,Yes,No,Mailed check,No,1.0,1
1.0,Yes,Month-to-month,No,DSL,54.4,0.0,54.4,Yes,No,Mailed check,No,0.0,2
1.0,Yes,Month-to-month,No,Fiber optic,95.0,190.0,95.0,Yes,No,Electronic check,Yes,2.0,11
1.0,Yes,Month-to-month,No,Fiber optic,74.4,0.0,74.4,Yes,No,Electronic check,Yes,0.0,15
1.0,Yes,Month-to-month,No,DSL,48.55,0.0,48.55,Yes,No,Mailed check,No,0.0,1
0.0,Yes,Month-to-month,Yes,Fiber optic,0.0,0.0,70.4,No,Yes,Electronic check,No,0.0,2
1.0,Yes,Month-to-month,No,DSL,40.2,40.2,40.2,No,Yes,Electronic check,Yes,1.0,1
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,44.6,Yes,Yes,Automatic,No,0.0,2
1.0,Yes,Month-to-month,No,DSL,41.15,41.15,41.15,Yes,No,Electronic check,Yes,1.0,3
2.0,Yes,Month-to-month,No,Fiber optic,213.8,213.8,106.9,Yes,No,Electronic check,Yes,2.0,13
0.0,Yes,Two year,No,No,0.0,0.0,19.35,No,No,Mailed check,No,0.0,59
1.0,Yes,Month-to-month,No,Fiber optic,94.45,188.9,94.45,Yes,No,Electronic check,Yes,2.0,16
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,24.8,No,No,Automatic,No,0.0,1
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,70.6,No,No,Mailed check,No,0.0,1
2.0,Yes,Month-to-month,No,Fiber optic,170.8,0.0,85.4,Yes,Yes,Electronic check,No,0.0,5
2.0,Yes,Month-to-month,No,Fiber optic,210.1,210.1,105.05,Yes,Yes,Electronic check,No,2.0,52
1.0,Yes,Month-to-month,Yes,Fiber optic,95.15,190.3,95.15,No,Yes,Mailed check,No,2.0,18
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,70.0,No,Yes,Electronic check,No,0.0,1
1.0,Yes,Month-to-month,No,Fiber optic,74.5,0.0,74.5,Yes,No,Electronic check,Yes,0.0,8
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,44.85,Yes,No,Automatic,No,0.0,10
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,76.1,Yes,No,Electronic check,Yes,0.0,24
1.0,Yes,Month-to-month,Yes,Fiber optic,73.6,0.0,73.6,Yes,No,Mailed check,No,0.0,1
0.0,Yes,Month-to-month,No,Fiber optic,0.0,190.9,95.45,Yes,No,Electronic check,Yes,2.0,4
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,74.9,Yes,Yes,Electronic check,Yes,0.0,32
0.0,Yes,Month-to-month,No,Fiber optic,0.0,80.6,80.6,Yes,No,Electronic check,No,1.0,5
3.0,Yes,One year,Yes,DSL,240.89999999999998,160.6,80.3,No,Yes,Automatic,No,2.0,38
1.0,Yes,Month-to-month,No,Fiber optic,93.15,186.3,93.15,Yes,Yes,Electronic check,Yes,2.0,24
3.0,Yes,One year,No,DSL,247.35000000000002,164.9,82.45,No,No,Automatic,Yes,2.0,54
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,70.35,Yes,No,Electronic check,Yes,0.0,2
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,73.85,Yes,No,Electronic check,No,0.0,7
1.0,Yes,Month-to-month,No,Fiber optic,80.6,0.0,80.6,No,No,Mailed check,No,0.0,2
3.0,Yes,One year,Yes,DSL,227.39999999999998,75.8,75.8,Yes,Yes,Automatic,No,1.0,68
2.0,Yes,Two year,No,Fiber optic,209.2,209.2,104.6,Yes,No,Electronic check,No,2.0,43
2.0,Yes,Month-to-month,No,Fiber optic,206.8,206.8,103.4,Yes,Yes,Electronic check,No,2.0,63
0.0,Yes,Month-to-month,No,Fiber optic,0.0,180.8,90.4,Yes,No,Electronic check,No,2.0,2
2.0,Yes,Month-to-month,Yes,Fiber optic,169.6,0.0,84.8,Yes,Yes,Automatic,No,0.0,4
1.0,Yes,Month-to-month,No,DSL,41.9,41.9,41.9,Yes,No,Electronic check,Yes,1.0,21
0.0,Yes,Month-to-month,No,Fiber optic,0.0,80.25,80.25,Yes,No,Automatic,No,1.0,10
1.0,Yes,Month-to-month,No,DSL,30.75,0.0,30.75,No,Yes,Automatic,Yes,0.0,27
1.0,Yes,Month-to-month,No,Fiber optic,96.5,193.0,96.5,No,No,Automatic,No,2.0,5
0.0,Yes,Month-to-month,No,Fiber optic,0.0,85.65,85.65,Yes,No,Electronic check,No,1.0,2
2.0,Yes,Month-to-month,No,Fiber optic,209.9,209.9,104.95,Yes,Yes,Automatic,No,2.0,25
1.0,Yes,Month-to-month,No,DSL,50.65,0.0,50.65,No,No,Mailed check,No,0.0,1
1.0,Yes,Month-to-month,No,Fiber optic,90.85,90.85,90.85,Yes,No,Automatic,No,1.0,1
0.0,Yes,Month-to-month,No,No,0.0,0.0,19.95,No,Yes,Mailed check,Yes,0.0,11
2.0,Yes,Month-to-month,No,Fiber optic,170.9,0.0,85.45,Yes,Yes,Electronic check,Yes,0.0,55
1.0,Yes,Month-to-month,No,Fiber optic,73.95,0.0,73.95,Yes,No,Automatic,No,0.0,34
1.0,Yes,Month-to-month,Yes,Fiber optic,99.45,198.9,99.45,Yes,Yes,Automatic,No,2.0,69
0.0,Yes,Month-to-month,No,No,0.0,0.0,19.9,Yes,No,Mailed check,No,0.0,1
0.0,Yes,Month-to-month,No,No,0.0,0.0,19.6,Yes,No,Mailed check,No,0.0,1
1.0,Yes,Month-to-month,No,Fiber optic,81.35,0.0,81.35,Yes,No,Electronic check,Yes,0.0,3
1.0,Yes,Month-to-month,Yes,Fiber optic,83.3,83.3,83.3,No,Yes,Electronic check,No,1.0,22
1.0,Yes,Month-to-month,No,Fiber optic,75.3,0.0,75.3,Yes,No,Automatic,Yes,0.0,1
0.0,Yes,Month-to-month,Yes,No,0.0,0.0,19.4,Yes,Yes,Mailed check,No,0.0,61
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,45.4,Yes,No,Automatic,No,0.0,12
2.0,Yes,Month-to-month,No,Fiber optic,211.8,211.8,105.9,Yes,No,Electronic check,No,2.0,60
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,69.55,No,No,Mailed check,No,0.0,1
0.0,Yes,Month-to-month,Yes,Fiber optic,0.0,81.05,81.05,Yes,Yes,Electronic check,No,1.0,28
1.0,Yes,Month-to-month,Yes,Fiber optic,101.15,202.3,101.15,No,Yes,Electronic check,No,2.0,4
1.0,Yes,Month-to-month,No,Fiber optic,99.8,199.6,99.8,Yes,No,Electronic check,No,2.0,7
0.0,Yes,Month-to-month,Yes,DSL,0.0,55.95,55.95,No,Yes,Electronic check,No,1.0,13
